obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"211.35155"	"211.35158"	"3.2e+06"	C	"0.00000000"	"5.8662536"	"3d.4s2"	"2D"	"3/2"	"3d2.(3F).5p"	"2D*"	"5/2"	4	6		
"211.73205"	"211.73203"	"2.0e+07"	C	"0.00000000"	"5.8557128"	"3d.4s2"	"2D"	"3/2"	"3d2.(3F).5p"	"2D*"	"3/2"	4	4		
"212.10625"	"212.10622"	"2.0e+07"	C	"0.0208711"	"5.8662536"	"3d.4s2"	"2D"	"5/2"	"3d2.(3F).5p"	"2D*"	"5/2"	6	6		
"226.2992"	"226.29921"	"5.8e+06"	C	"0.00000000"	"5.478773"	"3d.4s2"	"2D"	"3/2"	"3d2.(3P).4p"	"2P*"	"3/2"	4	4		
"226.7295"	"226.72945"	"4.8e+07"	C	"0.00000000"	"5.468376"	"3d.4s2"	"2D"	"3/2"	"3d2.(3P).4p"	"2P*"	"1/2"	4	2		
"227.1646"	"227.16458"	"4.6e+07"	C	"0.0208711"	"5.478773"	"3d.4s2"	"2D"	"5/2"	"3d2.(3P).4p"	"2P*"	"3/2"	6	4		
"228.1537"	"228.15362"	"2.8e+07"	C	"0.00000000"	"5.4342420"	"3d.4s2"	"2D"	"3/2"	"3d2.(1G).4p"	"2F*"	"5/2"	4	6		
"229.0334"	"229.03326"	"4.1e+06"	C	"0.0208711"	"5.4342420"	"3d.4s2"	"2D"	"5/2"	"3d2.(1G).4p"	"2F*"	"5/2"	6	6		
"231.2002"	"231.20020"	"4.1e+06"	C	"0.00000000"	"5.3626336"	"3d.4s2"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2D*"	"5/2"	4	6		
"231.6399"	"231.63999"	"2.5e+07"	C	"0.00000000"	"5.352452"	"3d.4s2"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2D*"	"3/2"	4	4		
"232.1034"	"232.10354"	"2.4e+07"	C	"0.0208711"	"5.3626336"	"3d.4s2"	"2D"	"5/2"	"3d.4s.(1D).5p"	"2D*"	"5/2"	6	6		
"232.5467"	"232.54677"	"4.1e+06"	C	"0.0208711"	"5.352452"	"3d.4s2"	"2D"	"5/2"	"3d.4s.(1D).5p"	"2D*"	"3/2"	6	4		
"232.8901"	"232.88971"	"4.6e+06"	C	"0.00000000"	"5.323730"	"3d.4s2"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2F*"	"5/2"	4	6		
"233.5387"	"233.53869"	"1.7e+07"	C	"0.00000000"	"5.308936"	"3d.4s2"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2P*"	"1/2"	4	2		
"233.5881"	"233.58776"	"3.6e+06"	C	"0.0208711"	"5.328692"	"3d.4s2"	"2D"	"5/2"	"3d.4s.(1D).5p"	"2F*"	"7/2"	6	8		
"233.7522"	"233.75192"	"3.7e+06"	C	"0.00000000"	"5.3040932"	"3d.4s2"	"2D"	"3/2"	"3d.4s.(1D).5p"	"2P*"	"3/2"	4	4		
"234.6752"	"234.67535"	"1.3e+07"	C	"0.0208711"	"5.3040932"	"3d.4s2"	"2D"	"5/2"	"3d.4s.(1D).5p"	"2P*"	"3/2"	6	4		
"242.93945"	"242.93953"	"2.07e+06"	C	"0.00000000"	"5.1035003"	"3d.4s2"	"2D"	"3/2"	"3d2.(3P).4p"	"2D*"	"5/2"	4	6		
"242.99316"	"242.99321"	"2.82e+07"	C	"0.00000000"	"5.1023730"	"3d.4s2"	"2D"	"3/2"	"3d2.(3P).4p"	"2D*"	"3/2"	4	4		
