obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"226.4716"	"226.47186"	"2.3e+07"	D	"0.00000000"	"5.4745962"	"3d2.4s2"	"a 3F"	"2"	"3d2.4s.(4F).5p"	"3G*"	"3"	5	7		
"227.7405"	"227.74048"	"1.3e+08"	C	"0.02109378"	"5.4651938"	"3d2.4s2"	"a 3F"	"3"	"3d2.4s.(4F).5p"	"o 3D*"	"2"	7	5		
"228.0671"	"228.06710"	"9.4e+07"	C	"0.04796626"	"5.4842699"	"3d2.4s2"	"a 3F"	"4"	"3d2.4s.(4F).5p"	"o 3D*"	"3"	9	7		
"230.0566"	"230.05674"	"6.9e+07"	C	"0.00000000"	"5.3892877"	"3d2.4s2"	"a 3F"	"2"	"3d2.4s.(4F).5p"	"r 3F*"	"2"	5	5		
"230.3445"	"230.344570"	"5.7e+07"	C	"0.02109378"	"5.4036473"	"3d2.4s2"	"a 3F"	"3"	"3d2.4s.(4F).5p"	"r 3F*"	"3"	7	7		
"230.6384"	"230.63838"	"5.2e+07"	C	"0.04796626"	"5.4236631"	"3d2.4s2"	"a 3F"	"4"	"3d2.4s.(4F).5p"	"r 3F*"	"4"	9	9		
"238.5244"	"238.52464"	"9.0e+06"	C	"0.04796626"	"5.2459282"	"3d2.4s2"	"a 3F"	"4"	"3d.4s2.4p"	"q 3D*"	"3"	9	7		
"241.9097"	"241.90965"	"1.2e+07"	C	"0.00000000"	"5.1252276"	"3d2.4s2"	"a 3F"	"2"	"3d.4s2.4p"	"s 3F*"	"2"	5	5		
"242.2040"	"242.20402"	"1.3e+07"	C	"0.02109378"	"5.1400921"	"3d2.4s2"	"a 3F"	"3"	"3d.4s2.4p"	"s 3F*"	"3"	7	7		
"242.4991"	"242.49864"	"1.7e+07"	C	"0.04796626"	"5.1607454"	"3d2.4s2"	"a 3F"	"4"	"3d.4s2.4p"	"s 3F*"	"4"	9	9		
"242.8951"	"242.89528"	"7.7e+06"	C	"0.00000000"	"5.1044302"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2H).4p"	"3G*"	"3"	5	7		
"244.1720"	"244.17240"	"7.2e+06"	C	"0.04796626"	"5.1256981"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2H).4p"	"3G*"	"5"	9	11		
"251.9783"	"251.97826"	"5.9e+06"	C	"0.00000000"	"4.9204324"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2D2).4p"	"s 3D*"	"2"	5	5		
"252.1300"	"252.12999"	"3.8e+07"	C	"0.00000000"	"4.9174713"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2D2).4p"	"s 3D*"	"1"	5	3		
"252.8745"	"252.87451"	"6.8e+06"	C	"0.02109378"	"4.9240869"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2D2).4p"	"s 3D*"	"3"	7	7		
"253.0632"	"253.06313"	"3.8e+07"	C	"0.02109378"	"4.9204324"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2D2).4p"	"s 3D*"	"2"	7	5		
"254.2671"	"254.26811"	"4.3e+07"	C	"0.04796626"	"4.9240869"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2D2).4p"	"s 3D*"	"3"	9	7		
"259.1030"	"259.10286"	"4.7e+06"	C	"0.02109378"	"4.8062281"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2P).4p"	"t 3D*"	"3"	7	7		
"259.4416"	"259.44163"	"6.9e+06"	C	"0.00000000"	"4.7788861"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2G).4p"	"t 3F*"	"3"	5	7		
"259.7360"	"259.73628"	"6.9e+06"	C	"0.02109378"	"4.7945586"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2G).4p"	"t 3F*"	"4"	7	9		
"260.0681"	"260.06917"	"6.7e+07"	C	"0.00000000"	"4.7673547"	"3d2.4s2"	"a 3F"	"2"	"3d3.(2G).4p"	"t 3F*"	"2"	5	5		
"260.5911"	"260.59187"	"6.4e+07"	C	"0.02109378"	"4.7788861"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2G).4p"	"t 3F*"	"3"	7	7		
"261.2065"	"261.20676"	"6.4e+07"	C	"0.04796626"	"4.7945586"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2G).4p"	"t 3F*"	"4"	9	9		
"261.2249"	"261.22499"	"3.3e+07"	C	"0.02109378"	"4.7673547"	"3d2.4s2"	"a 3F"	"3"	"3d3.(2G).4p"	"t 3F*"	"2"	7	5		
"262.0716"	"262.07207"	"2.1e+07"	C	"0.04796626"	"4.7788861"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2G).4p"	"t 3F*"	"3"	9	7		
