obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"238.50135"	"238.501412"	"4.9e+06"	C+	"0.00000000"	"5.19846812"	"3d3.4s2"	"a 4F"	"3/2"	"3d3.(4P).4s.4p.(1P*)"	"r 4D*"	"1/2"	4	2		
"240.26348"	"240.263479"	"8.6e+06"	C	"0.01703332"	"5.17737642"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3G).4p"	"t 4G*"	"7/2"	6	8		
"240.74797"	"240.747965"	"9.4e+06"	C+	"0.04010046"	"5.19005876"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3G).4p"	"t 4G*"	"9/2"	8	10		
"241.34230"	"241.342298"	"1.08e+07"	C	"0.04010046"	"5.17737642"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3G).4p"	"t 4G*"	"7/2"	8	8		
"242.08566"	"242.085663"	"1.00e+07"	C+	"0.06855768"	"5.19005876"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(3G).4p"	"t 4G*"	"9/2"	10	10		
"242.68669"	"242.686626"	"1.08e+06"	C	"0.06855768"	"5.17737642"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(3G).4p"	"t 4G*"	"7/2"	10	8		
"250.23679"	"250.23679"	"1.22e+07"	C+	"0.00000000"	"4.9546751"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3H).4p"	"u 4G*"	"5/2"	4	6		
"250.40583"	"250.40581"	"1.1e+07"	C	"0.00000000"	"4.9513308"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3F2).4p"	"s 4D*"	"3/2"	4	4		
"250.76615"	"250.76618"	"5.1e+07"	C+	"0.00000000"	"4.9442153"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3F2).4p"	"s 4D*"	"1/2"	4	2		
"250.86182"	"250.861817"	"1.3e+07"	C	"0.01703332"	"4.9593637"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3F2).4p"	"s 4D*"	"5/2"	6	6		
"251.27022"	"251.27021"	"3.1e+07"	C+	"0.01703332"	"4.9513308"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3F2).4p"	"s 4D*"	"3/2"	6	4		
"251.79062"	"251.79062"	"1.42e+07"	C+	"0.04010046"	"4.9641996"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3H).4p"	"u 4G*"	"9/2"	8	10		
"252.03815"	"252.038144"	"4.3e+07"	C+	"0.04010046"	"4.9593637"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3F2).4p"	"s 4D*"	"5/2"	8	6		
"253.09459"	"253.094594"	"1.54e+07"	C+	"0.06855768"	"4.96728730"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(3H).4p"	"u 4G*"	"11/2"	10	12		
"254.66884"	"254.668844"	"1.8e+07"	C+	"0.00000000"	"4.8684478"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3F2).4p"	"u 4F*"	"3/2"	4	4		
"255.07340"	"255.073404"	"1.8e+06"	D+	"0.01703332"	"4.87775955"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3F2).4p"	"u 4F*"	"7/2"	6	8		
"255.56300"	"255.562986"	"3.6e+06"	C	"0.01703332"	"4.8684478"	"3d3.4s2"	"a 4F"	"5/2"	"3d4.(3F2).4p"	"u 4F*"	"3/2"	6	4		
"256.28964"	"256.289656"	"1.67e+07"	C+	"0.04010046"	"4.87775955"	"3d3.4s2"	"a 4F"	"7/2"	"3d4.(3F2).4p"	"u 4F*"	"7/2"	8	8		
"257.47897"	"257.47897"	"1.8e+07"	C	"0.06855768"	"4.88387136"	"3d3.4s2"	"a 4F"	"9/2"	"3d4.(3F2).4p"	"u 4F*"	"9/2"	10	10		
