obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"200.060"	"200.06016"	"1.4e+08"	D	"1.03000806"	"7.227354"	"3d4.4s2"	"a 5D"	"4"	"3d4.4s.5p"	"r 5D*"	"4"	9	9		
"209.567"	"209.5593"	"1.2e+06"	C	"0.00000000"	"5.916424"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"4"	7	9		
"209.607"	"209.6069"	"1.1e+06"	C	"0.00000000"	"5.915082"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"3"	7	7		
"209.650"	"209.650"	"1.1e+06"	C	"0.00000000"	"5.91387"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).6p"	"w 7P*"	"2"	7	5		
"235.502"	"235.502987"	"8.1e+06"	D	"1.00367492"	"6.26832996"	"3d4.4s2"	"a 5D"	"3"	"3d5.(4D).4p"	"u 5D*"	"4"	7	9		
"236.545"	"236.5454"	"5.3e+06"	C	"0.00000000"	"5.241456"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).5p"	"x 7P*"	"4"	7	9		
"236.66417"	"236.66417"	"5.5e+06"	C	"0.00000000"	"5.2388241"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).5p"	"x 7P*"	"3"	7	7		
"236.75387"	"236.75388"	"6.9e+06"	C	"0.00000000"	"5.2368392"	"3d5.(6S).4s"	"a 7S"	"3"	"3d5.(6S).5p"	"x 7P*"	"2"	7	5		
"237.579"	"237.578279"	"1.7e+07"	E	"0.98287742"	"6.2015447"	"3d4.4s2"	"a 5D"	"2"	"3d5.(4D).4p"	"s 5F*"	"1"	5	3		
"238.40326"	"238.403348"	"4.1e+07"	D	"1.03000806"	"6.2306145"	"3d4.4s2"	"a 5D"	"4"	"3d5.(4D).4p"	"s 5F*"	"5"	9	11		
