obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"279.564"	"279.5641"	"3.7e+08"	C	"0.000000"	"4.434911"	"3d5.4s2"	"a 6S"	"5/2"	"3d5.(6S).4s.4p.(1P*)"	"y 6P*"	"7/2"	6	8		
"279.909"	"279.9094"	"3.6e+08"	C	"0.000000"	"4.429441"	"3d5.4s2"	"a 6S"	"5/2"	"3d5.(6S).4s.4p.(1P*)"	"y 6P*"	"5/2"	6	6		
"280.189"	"280.1907"	"3.7e+08"	C	"0.000000"	"4.424994"	"3d5.4s2"	"a 6S"	"5/2"	"3d5.(6S).4s.4p.(1P*)"	"y 6P*"	"3/2"	6	4		
"300.854"	"300.8527"	"1.8e+07"	E	"3.134449"	"7.255543"	"3d5.4s2"	"a 4G"	"5/2"	"3d6.(3H).4p"	"y 4H*"	"7/2"	6	8		
"301.204"	"301.2040"	"1.1e+07"	E	"3.134994"	"7.251280"	"3d5.4s2"	"a 4G"	"9/2"	"3d6.(3H).4p"	"y 4H*"	"9/2"	10	10		
"301.226"	"301.2250"	"3.1e+07"	E	"3.135280"	"7.251280"	"3d5.4s2"	"a 4G"	"7/2"	"3d6.(3H).4p"	"y 4H*"	"9/2"	8	10		
"301.733"	"301.7331"	"2.9e+07"	E	"3.134994"	"7.244062"	"3d5.4s2"	"a 4G"	"9/2"	"3d6.(3H).4p"	"y 4H*"	"11/2"	10	12		
""	"304.2104"	"1.1e+07"	E	"3.135280"	"7.210888"	"3d5.4s2"	"a 4G"	"7/2"	"3d5.(4G).4s.4p.(1P*)"	"y 4G*"	"5/2"	8	6		
""	"304.4023"	"1.4e+07"	E	"3.134994"	"7.208031"	"3d5.4s2"	"a 4G"	"9/2"	"3d5.(4G).4s.4p.(1P*)"	"y 4G*"	"7/2"	10	8		
"304.425"	"304.4237"	"5.9e+07"	E	"3.135280"	"7.208031"	"3d5.4s2"	"a 4G"	"7/2"	"3d5.(4G).4s.4p.(1P*)"	"y 4G*"	"7/2"	8	8		
"304.546"	"304.5464"	"5.7e+07"	E	"2.114215"	"6.185325"	"3d6.(5D).4s"	"a 6D"	"9/2"	"3d5.(4P).4s.4p.(3P*)"	"v 6P*"	"7/2"	10	8		
"304.648"	"304.6476"	"6.7e+07"	E	"3.134994"	"7.204752"	"3d5.4s2"	"a 4G"	"9/2"	"3d5.(4G).4s.4p.(1P*)"	"y 4G*"	"9/2"	10	10		
""	"304.6691"	"1.7e+07"	E	"3.135280"	"7.204752"	"3d5.4s2"	"a 4G"	"7/2"	"3d5.(4G).4s.4p.(1P*)"	"y 4G*"	"9/2"	8	10		
""	"304.7467"	"1.3e+07"	E	"4.331847"	"8.400282"	"3d6.(3F2).4s"	"a 4F"	"9/2"	"3d5.(2H).4s.4p.(3P*)"	"t 4G*"	"11/2"	10	12		
