obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"193.45350"	"193.453495"	"2.5e+07"	C+	"0.0000000"	"6.40899243"	"3d6.4s2"	"a 5D"	"4"	"3d6.(5D).4s (6D).5p"	"u 5P*"	"3"	9	7		
"193.72683"	"193.726831"	"2.2e+07"	C+	"0.0000000"	"6.39994976"	"3d6.4s2"	"a 5D"	"4"	"3d6.(5D).4s (6D).5p"	"u 5F*"	"3"	9	7		
"194.06603"	"194.066039"	"2.6e+07"	D+	"0.05156912"	"6.44033241"	"3d6.4s2"	"a 5D"	"3"	"3d6.(5D).4s (6D).5p"	"u 5P*"	"2"	7	5		
"213.26900"	"213.268991"	"7.6e+06"	C+	"0.0000000"	"5.81351269"	"3d6.4s2"	"a 5D"	"4"	"3d6.(3F2).4s.4p.(3P*)"	"x 3F*"	"4"	9	9		
"213.92666"	"213.926655"	"2.8e+06"	D+	"0.0000000"	"5.79564049"	"3d6.4s2"	"a 5D"	"4"	"3d7.(4P).4p"	"u 5D*"	"3"	9	7		
"214.58651"	"214.586496"	"5.7e+06"	C	"0.05156912"	"5.82938837"	"3d6.4s2"	"a 5D"	"3"	"3d7.(4P).4p"	"w 3D*"	"3"	7	7		
"215.36837"	"215.368354"	"6.9e+06"	C	"0.08728574"	"5.84412959"	"3d6.4s2"	"a 5D"	"2"	"3d7.(4P).4p"	"w 3D*"	"2"	5	5		
"216.22579"	"216.225791"	"5.0e+06"	D+	"0.11011433"	"5.84412959"	"3d6.4s2"	"a 5D"	"1"	"3d7.(4P).4p"	"w 3D*"	"2"	3	5		
"216.74532"	"216.745323"	"2.7e+08"	D+	"0.0000000"	"5.72027099"	"3d6.4s2"	"a 5D"	"4"	"3d7.(4P).4p"	"w 5P*"	"3"	9	7		
"217.19779"	"217.197781"	"5.1e+06"	D+	"0.08728574"	"5.79564049"	"3d6.4s2"	"a 5D"	"2"	"3d7.(4P).4p"	"u 5D*"	"3"	5	7		
"217.38949"	"217.389485"	"8.3e+06"	D+	"0.11011433"	"5.81343520"	"3d6.4s2"	"a 5D"	"1"	"3d7.(4P).4p"	"u 5D*"	"2"	3	5		
"217.75222"	"217.752214"	"1.0e+07"	C+	"0.12126572"	"5.81508605"	"3d6.4s2"	"a 5D"	"0"	"3d6.(3P2).4s.4p.(3P*)"	"y 3P*"	"1"	1	3		
"219.18892"	"219.188920"	"7.3e+06"	C	"0.12126572"	"5.77776507"	"3d6.4s2"	"a 5D"	"0"	"3d6.(3P2).4s.4p.(3P*)"	"z 3S*"	"1"	1	3		
"219.25241"	"219.252424"	"1.2e+08"	C+	"0.08728574"	"5.74214676"	"3d6.4s2"	"a 5D"	"2"	"3d7.(4P).4p"	"w 5P*"	"2"	5	5		
"219.67278"	"219.672802"	"1.2e+08"	C+	"0.11011433"	"5.75415389"	"3d6.4s2"	"a 5D"	"1"	"3d7.(4P).4p"	"w 5P*"	"1"	3	3		
"220.10767"	"220.107687"	"8.9e+07"	C	"0.12126572"	"5.75415389"	"3d6.4s2"	"a 5D"	"0"	"3d7.(4P).4p"	"w 5P*"	"1"	1	3		
"220.14111"	"220.141130"	"2.8e+07"	C	"0.11011433"	"5.74214676"	"3d6.4s2"	"a 5D"	"1"	"3d7.(4P).4p"	"w 5P*"	"2"	3	5		
