obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
""	"228.8513"	"8.6e+07"	D	"0.513624"	"5.931299"	"3p6.3d8.(3F).4s"	"b 4F"	"7/2"	""	"6*"	"7/2"	8	8		
""	"229.5936"	"2.2e+07"	C	"0.000000"	"5.400159"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d8.(1D).4p"	"x 2F*"	"7/2"	10	8		
"230.973"	"230.9718"	"5.6e+07"	C+	"0.000000"	"5.367936"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4F*"	"9/2"	10	10		
"232.385"	"232.3853"	"5.0e+07"	C	"0.101171"	"5.436457"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"7/2"	8	8		
""	"232.6251"	"1.1e+07"	D	"0.174426"	"5.504213"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4G*"	"7/2"	6	8		
"233.671"	"233.6717"	"5.1e+07"	C	"0.174426"	"5.480340"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"5/2"	6	6		
"233.939"	"233.9379"	"7.7e+07"	D	"0.224328"	"5.524204"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4F*"	"3/2"	4	4		
"235.414"	"235.4087"	"1.5e+07"	D	"0.101171"	"5.367936"	"3p6.3d7.4s2"	"a 4F"	"7/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"w 4F*"	"9/2"	8	10		
""	"235.6204"	"1.3e+07"	D	"0.174426"	"5.436457"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"7/2"	6	8		
""	"235.8903"	"1.4e+07"	D	"0.224328"	"5.480340"	"3p6.3d7.4s2"	"a 4F"	"3/2"	"3p6.3d7.(2G).4s.4p.(3P*)"	"*"	"5/2"	4	6		
""	"236.5782"	"1.3e+07"	C	"0.000000"	"5.240728"	"3p6.3d7.4s2"	"a 4F"	"9/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4G*"	"9/2"	10	10		
""	"237.2570"	"7.3e+06"	D	"0.174426"	"5.400159"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d8.(1D).4p"	"x 2F*"	"7/2"	6	8		
