obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"202.4979"	"202.49775"	"9.8e+06"	B	"0.0000000"	"6.1227444"	"3d10.4s"	"2S"	"1/2"	"3d10.5p"	"2P*"	"1/2"	2	2		
"202.4990"	"202.49906"	"9.8e+06"	B	"0.0000000"	"6.1227049"	"3d10.4s"	"2S"	"1/2"	"3d10.5p"	"2P*"	"3/2"	2	4		
"216.5773"	"216.57730"	"5.5e+07"	C+	"0.0000000"	"5.724709"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"*"	"3/2"	2	4		
"217.9626"	"217.9631"	"9.1e+07"	C+	"0.0000000"	"5.688311"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	2	4		
"218.2403"	"218.2408"	"9.9e+07"	C+	"0.0000000"	"5.681073"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"1/2"	2	2		
"222.6389"	"222.6394"	"4.4e+07"	C+	"0.0000000"	"5.568835"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"1/2"	2	2		
"224.4961"	"224.4963"	"1.85e+06"	C+	"0.0000000"	"5.522772"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4D*"	"3/2"	2	4		
"236.3921"	"236.39220"	"7.e+04"	E	"0.0000000"	"5.244851"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4F*"	"3/2"	2	4		
"244.2377"	"244.2373"	"2.01e+06"	B	"0.0000000"	"5.076382"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4P*"	"1/2"	2	2		
"249.2898"	"249.28946"	"2.79e+06"	B	"0.0000000"	"4.973503"	"3d10.4s"	"2S"	"1/2"	"3d9.(2D).4s.4p.(3P*)"	"4P*"	"3/2"	2	4		
"261.9147"	"261.9150"	"3.07e+07"	C	"1.388948"	"6.1227049"	"3d9.4s2"	"2D"	"5/2"	"3d10.5p"	"2P*"	"3/2"	6	4		
"276.7188"	"276.7208"	"9.6e+06"	C+	"1.6422256"	"6.1227049"	"3d9.4s2"	"2D"	"3/2"	"3d10.5p"	"2P*"	"3/2"	4	4		
"282.5201"	"282.5199"	"7.8e+06"	C+	"1.388948"	"5.777459"	"3d9.4s2"	"2D"	"5/2"	"3d9.(2D).4s.4p.(3P*)"	"2D*"	"5/2"	6	6		
"296.2030"	"296.2029"	"3.76e+06"	C+	"1.388948"	"5.574734"	"3d9.4s2"	"2D"	"5/2"	"3d9.(2D).4s.4p.(3P*)"	"2F*"	"7/2"	6	8		
"306.4301"	"306.4300"	"1.55e+06"	C+	"1.6422256"	"5.688311"	"3d9.4s2"	"2D"	"3/2"	"3d9.(2D).4s.4p.(3P*)"	"2P*"	"3/2"	4	4		
