obs_wl_vac(nm)	ritz_wl_vac(nm)	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	g_i	g_k	Type	
"74.8366"	"74.8366"	"6.0e+06"	C	"0.00000000"	"16.56733"	"3d10.4s2"	"1S"	"0"	"3d9.(2D<5/2>).4s2.7p"	"2[3/2]*"	"1"	1	3		
"76.551"	"76.551"	"7.6e+06"	C	"0.00000000"	"16.196"	"3d10.4s2"	"1S"	"0"	"3d9.(2D<5/2>).4s2.6p"	"2[3/2]*"	"1"	1	3		
"79.1998"	"79.1998"	"5.7e+06"	C	"0.00000000"	"15.6546"	"3d10.4s2"	"1S"	"0"	"3d9.(2D<3/2>).4s2.5p"	"2[3/2]*"	"1"	1	3		
"79.407"	"79.407"	"1.8e+07"	C	"0.00000000"	"15.6137"	"3d10.4s2"	"1S"	"0"	"3d9.(2D<3/2>).4s2.5p"	"2[1/2]*"	"1"	1	3		
"80.992"	"80.992"	"2.6e+07"	C	"0.00000000"	"15.3082"	"3d10.4s2"	"1S"	"0"	"3d9.(2D<5/2>).4s2.5p"	"2[3/2]*"	"1"	1	3		
"110.832"	"110.832"	"3.1e+07"	C	"0.00000000"	"11.1867"	"3d10.4s2"	"1S"	"0"	"3d9.4s2.4p"	"3P*"	"1"	1	3		
"213.924775"	"213.924778"	"7.14e+08"	A	"0.00000000"	"5.7956913"	"3d10.4s2"	"1S"	"0"	"3d10.4s.4p"	"1P*"	"1"	1	3		
"307.679073"	"307.679063"	"3.8e+04"	B	"0.00000000"	"4.02965990"	"3d10.4s2"	"1S"	"0"	"3d10.4s.4p"	"3P*"	"1"	1	3		
"328.327131"	"328.327126"	"9.0e+07"	B	"4.00609281"	"7.78233268"	"3d10.4s.4p"	"3P*"	"0"	"3d10.4s.4d"	"3D"	"1"	1	3		
"330.353376"	"330.353376"	"1.20e+08"	B	"4.02965990"	"7.78273789"	"3d10.4s.4p"	"3P*"	"1"	"3d10.4s.4d"	"3D"	"2"	3	5		
"330.389045"	"330.389047"	"6.7e+07"	B	"4.02965990"	"7.78233268"	"3d10.4s.4p"	"3P*"	"1"	"3d10.4s.4d"	"3D"	"1"	3	3		
"334.597507"	"334.597507"	"1.70e+08"	B	"4.07788079"	"7.7833537"	"3d10.4s.4p"	"3P*"	"2"	"3d10.4s.4d"	"3D"	"3"	5	7		
"334.653121"	"334.653119"	"4.0e+07"	B	"4.07788079"	"7.78273789"	"3d10.4s.4p"	"3P*"	"2"	"3d10.4s.4d"	"3D"	"2"	5	5		
"334.68972"	"334.689725"	"4.5e+06"	B	"4.07788079"	"7.78233268"	"3d10.4s.4p"	"3P*"	"2"	"3d10.4s.4d"	"3D"	"1"	5	3		
"636.41048"	"636.41048"	"4.7e+07"	C	"5.7956913"	"7.7438711"	"3d10.4s.4p"	"1P*"	"1"	"3d10.4s.4d"	"1D"	"2"	3	5		
"1105.7276"	"1105.7283"	"2.4e+07"	C	"5.7956913"	"6.9169812"	"3d10.4s.4p"	"1P*"	"1"	"3d10.4s.5s"	"1S"	"0"	3	1		
