Z,symbol,charge,lower_n,upper_n,transition,wavelength_nm,energy_eV,set,origin,source
1,H,0,,,1s→2p,121.567,10.198836726512972,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
2,He,0,,,1s²→1s2p ¹P,58.433,21.218181238889027,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
3,Li,0,,,2s→2p,670.776,1.8483696261225844,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
4,Be,0,,,2s²→2s2p ¹P,234.861,5.279045837035534,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
5,B,0,,,2s²2p→2s²3s,249.773,4.963875135951454,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
6,C,0,,,2p²→2p3s,193.091,6.421024202743797,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
7,N,0,,,2p³→2p²3s,119.955,10.335892495785941,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
8,O,0,,,2p⁴→2p³3s,130.217,9.521352698434171,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
9,F,0,,,2p⁵→2p⁴3s,95.483,12.98495003646725,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
10,Ne,0,,,2p⁶→2p⁵3s,73.59,16.847968261068115,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
11,Na,0,,,3s→3p,588.995,2.105012749398556,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
12,Mg,0,,,3s²→3s3p ¹P,285.213,4.347073886295514,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
13,Al,0,,,3p→4s,394.401,3.1436076083275712,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
14,Si,0,,,3p²→3p4s,251.611,4.9276143901975775,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
17,Cl,0,,,3p⁵→3p⁴4s,134.724,9.202829372138615,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
18,Ar,0,,,3p⁶→3p⁵4s,104.822,11.828070293755152,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
19,K,0,,,4s→4p,766.49,1.6175579385667165,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
20,Ca,0,,,4s²→4s4p ¹P,422.673,2.933336135338672,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
26,Fe,0,,,3d⁶4s²→3d⁶4s4p,371.994,3.3329623174889984,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
29,Cu,0,,,3d¹⁰4s→3d¹⁰4p,324.754,3.8177881853095035,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
30,Zn,0,,,3d¹⁰4s²→3d¹⁰4s4p,213.856,5.797555291093084,FINAL_UNTOUCHED,MEASURED,APS01 NIST comparison column
1,H,0,1,2,2->1,121.567,10.198836726512972,HLIKE_CONTROL,MEASURED,APS01 NIST comparison column
1,H,0,1,3,3->1,102.5722,12.08750503871422,HLIKE_CONTROL,MEASURED,APS01 NIST comparison column
1,H,0,2,3,3->2,656.4614,1.888674618693502,HLIKE_CONTROL,MEASURED,APS01 NIST comparison column
2,He,1,1,2,2->1,30.3785,40.813140356897236,HLIKE_CONTROL,MEASURED,APS01 NIST comparison column
2,He,1,1,3,3->1,25.6317,48.3714300780675,HLIKE_CONTROL,MEASURED,APS01 NIST comparison column
3,Li,2,1,2,2->1,13.5006,91.83606538464976,HLIKE_CONTROL,MEASURED,APS01 NIST comparison column
3,Li,2,1,3,3->1,11.3921,108.83348849922338,HLIKE_CONTROL,MEASURED,APS01 NIST comparison column
