held_out_Z,symbol,eta,rho,n,coverage,median,rms,max,log_rmse
1,H,-0.33030903132203226,2.753410258245045e-13,1,1.0,1.1891387299400868e-05,1.1891387299400868e-05,1.1891387299400868e-05,1.1891458002507327e-05
2,He,-0.3341669625070594,1.750329885186599e-16,1,1.0,0.6500910943759546,0.6500910943759546,0.6500910943759546,0.5008304951012441
4,Be,-0.3465051034328548,2.767710773243509e-13,1,1.0,1.080679112513514,1.080679112513514,1.080679112513514,0.7326943368256033
5,B,-0.4042094766816543,5.945952717288943e-18,1,1.0,0.8066875869968289,0.8066875869968289,0.8066875869968289,1.6434476785690422
6,C,-0.3054506704100219,1.2766717422490913e-15,1,1.0,0.4089171169050354,0.4089171169050354,0.4089171169050354,0.3428214071302975
8,O,-0.31569185834905256,5.14626794425094e-18,1,1.0,0.26715359483370715,0.26715359483370715,0.26715359483370715,0.23677312116893526
9,F,-0.31758907397326597,6.901067645794885e-18,1,1.0,0.5527025562095811,0.5527025562095811,0.5527025562095811,0.4399969973033556
12,Mg,-0.3421930966120731,8.936329505986527e-14,1,1.0,0.41062249937942075,0.41062249937942075,0.41062249937942075,0.34403109588409236
13,Al,-0.31759011178258745,5.388302351998438e-17,1,1.0,3.02066408895241,3.02066408895241,3.02066408895241,1.391447085244349
14,Si,-0.32099284506127196,2.8976770211580107e-17,1,1.0,2.5463914248611204,2.5463914248611204,2.5463914248611204,1.2659305864616643
17,Cl,-0.3258779151984981,5.260295573116674e-18,1,1.0,1.8938957639002796,1.8938957639002796,1.8938957639002796,1.0626036095579605
20,Ca,-0.3226082470059348,7.146609443893241e-17,1,1.0,0.18402522101845387,0.18402522101845387,0.18402522101845387,0.20337183260654587
30,Zn,-0.31213569522222184,2.2735562732275815e-15,1,1.0,0.5148477232393145,0.5148477232393145,0.5148477232393145,0.723292464621324
