model,split,n,coverage,median,rms,max,log_rmse
A0_TRANSITION_FIX,CALIBRATION,9,0.6923076923076923,3.390190847212109,3.983379647944012,7.441566463942989,1.4510684556508713
A0_TRANSITION_FIX,HOLDOUT,3,0.375,2.5099764630996915,2.8651317587552287,3.50773425970295,1.3392172182595194
A0_TRANSITION_FIX,CONTROL,7,1.0,3.3035411612480914e-05,3.355674141700197e-05,5.200439694386105e-05,3.355731057400722e-05
A1_PATHWAY,CALIBRATION,9,0.6923076923076923,6.379633289502893,5.837956388131522,8.319465352170747,1.7826171205076349
A1_PATHWAY,HOLDOUT,3,0.375,6.527339130833216,6.230538655519086,6.9709963394509575,1.967167657884084
A1_PATHWAY,CONTROL,7,1.0,3.303541355181849e-05,3.355674026005615e-05,5.200439500474552e-05,3.3557309416983406e-05
A2_AXIS_AROUND,CALIBRATION,12,0.9230769230769231,5.1131670134838,5.160322480638976,8.927955993785092,1.5806822952956399
A2_AXIS_AROUND,HOLDOUT,7,0.875,2.5729917139564558,4.080778792411096,6.638544976794273,1.4098560583757962
A2_AXIS_AROUND,CONTROL,7,1.0,3.303541355181849e-05,3.355674026005615e-05,5.200439500474552e-05,3.3557309416983406e-05
A3_ANISOTROPIC_OCCLUSION,CALIBRATION,13,1.0,2.048178483196809,3.072362491307234,5.524340833338947,1.2312308592257317
A3_ANISOTROPIC_OCCLUSION,HOLDOUT,8,1.0,3.200781786758578,3.431360612656985,5.328535098412019,1.399149132387321
A3_ANISOTROPIC_OCCLUSION,CONTROL,7,1.0,3.303541355181849e-05,3.355674026005615e-05,5.200439500474552e-05,3.3557309416983406e-05
A4_CORE_DEPTH,CALIBRATION,13,1.0,0.49177279085017656,1.2622579639689584,2.925427257909652,0.7028847815480753
A4_CORE_DEPTH,HOLDOUT,6,0.75,0.6009502121083167,1.035622394849764,1.7995479548839546,0.6479507055839819
A4_CORE_DEPTH,CONTROL,7,1.0,3.303541355181849e-05,3.355674026005615e-05,5.200439500474552e-05,3.3557309416983406e-05
BASE_QUANTUM_DEFECT,CALIBRATION,13,1.0,0.21325179596870314,0.4939356977756913,1.2983317253753985,0.3712849416633191
BASE_QUANTUM_DEFECT,HOLDOUT,8,1.0,0.35258958317824496,0.4238615565059113,0.734273249608582,0.3641570737989866
BASE_RYDBERG,CALIBRATION,9,0.6923076923076923,10.787804127379289,17.140575108213085,34.55613877142308,2.5004333893011434
BASE_RYDBERG,HOLDOUT,3,0.375,10.216068140290009,12.392192110356067,17.11704372439295,2.519447257792408
