line_index,Z,symbol,transition,level,seat_i,seat_j,static_distance_m,static_radial_projection_m,lane_cosine,swept_mean_inverse_distance_m-1,swept_min_distance_m,swept_max_distance_m,swept_distance_variance_m2
1,2,He,1s²→1s2p ¹P,lower,0,1,5.5927142620713785e-11,5.5927142620713785e-11,-1.0,198731716069036.22,2.796357131035689e-17,5.5927142620713785e-11,2.963190434879731e-22
1,2,He,1s²→1s2p ¹P,upper,0,1,1.677194270451488e-10,2.6498036112491024e-11,0.0,6019057476.921792,1.3921092665134523e-10,1.920414807211707e-10,1.7392335170371738e-22
2,3,Li,2s→2p,lower,0,1,3.652987462258451e-11,3.652987462258451e-11,-1.0,92240265958.2136,1.290694675350584e-12,3.652987462258451e-11,1.2612073457817092e-22
2,3,Li,2s→2p,lower,0,2,8.482008048573046e-11,-8.482008048573046e-11,1.0,9787095186.907509,8.482008048573046e-11,1.211483666268924e-10,1.6400075112681435e-22
2,3,Li,2s→2p,lower,1,2,1.2134995510831496e-10,1.2134995510831496e-10,-1.0,9788842405.898666,8.461849200430788e-11,1.21349955108315e-10,1.6763897227056327e-22
2,3,Li,2s→2p,upper,0,1,3.6612934397663135e-11,3.6612934397663135e-11,-1.0,92479366522.06143,1.277772983280003e-12,3.661293439766314e-11,1.2674575965471545e-22
2,3,Li,2s→2p,upper,0,2,1.3871345530880378e-10,1.8306467198831567e-11,0.0,7256723492.323946,1.1925795835630694e-10,1.5575745483314872e-10,8.324839457036759e-23
2,3,Li,2s→2p,upper,1,2,1.3871345530880378e-10,1.8306467198831567e-11,0.0,7256723492.323946,1.1925795835630692e-10,1.5575745483314872e-10,8.324839457036762e-23
3,4,Be,2s²→2s2p ¹P,lower,0,1,2.7104950674939665e-11,2.7104950674939665e-11,-1.0,141199150936.17416,4.730466156415679e-13,2.7100822459666097e-11,6.95550195106974e-23
3,4,Be,2s²→2s2p ¹P,lower,0,2,5.857691032086489e-11,-5.857691032086489e-11,1.0,13988826371.393585,5.857691032086489e-11,8.568186099580456e-11,9.122328923327316e-23
3,4,Be,2s²→2s2p ¹P,lower,0,3,8.568186099580456e-11,8.568186099580456e-11,-1.0,13988826371.393581,5.857691032086488e-11,8.568186099580457e-11,9.122328923327324e-23
3,4,Be,2s²→2s2p ¹P,lower,1,2,8.568186099580456e-11,8.568186099580456e-11,-1.0,13988826371.393585,5.857691032086488e-11,8.568186099580457e-11,9.12232892332732e-23
3,4,Be,2s²→2s2p ¹P,lower,1,3,5.857691032086489e-11,-5.857691032086489e-11,1.0,13988826371.393585,5.857691032086489e-11,8.568186099580456e-11,9.122328923327312e-23
3,4,Be,2s²→2s2p ¹P,lower,2,3,1.4425877131666945e-10,1.4425877131666945e-10,-1.0,409952684594786.1,1.3552475337469832e-17,1.4425877131666945e-10,1.971509033820036e-21
3,4,Be,2s²→2s2p ¹P,upper,0,1,2.7164653105560215e-11,2.7164653105560215e-11,-1.0,139369250682.79465,4.891369801724769e-13,2.7160515878617866e-11,6.983975621820205e-23
3,4,Be,2s²→2s2p ¹P,upper,0,2,5.98227134895264e-11,-5.98227134895264e-11,1.0,13752351001.834108,5.98227134895264e-11,8.686695300530882e-11,9.083786754635318e-23
3,4,Be,2s²→2s2p ¹P,upper,0,3,9.904927978989295e-11,1.3522119757891204e-11,0.0,10167400295.013807,8.464752621192166e-11,1.116078669270004e-10,4.540020304563236e-23
