elem,Z,A,n_d,n_t,alpha_Z,alpha_A,betaM_Z,betaM_A,EC_Z,EC_A,n_Z,n_A
He,2,4,0,0,0,0,3,4,1,4,2,3
Li,3,6,1,0,1,2,4,6,2,6,3,5
Li,3,7,0,1,1,3,4,7,2,7,3,6
Be,4,9,1,1,2,5,5,9,3,9,4,8
B,5,10,3,0,3,6,6,10,4,10,5,9
B,5,11,2,1,3,7,6,11,4,11,5,10
C,6,12,4,0,4,8,7,12,5,12,6,11
C,6,13,3,1,4,9,7,13,5,13,6,12
N,7,14,5,0,5,10,8,14,6,14,7,13
N,7,15,4,1,5,11,8,15,6,15,7,14
O,8,16,6,0,6,12,9,16,7,16,8,15
O,8,17,5,1,6,13,9,17,7,17,8,16
O,8,18,4,2,6,14,9,18,7,18,8,17
F,9,19,6,1,7,15,10,19,8,19,9,18
Ne,10,20,8,0,8,16,11,20,9,20,10,19
Ne,10,21,7,1,8,17,11,21,9,21,10,20
Ne,10,22,6,2,8,18,11,22,9,22,10,21
Na,11,23,8,1,9,19,12,23,10,23,11,22
Mg,12,24,10,0,10,20,13,24,11,24,12,23
Mg,12,25,9,1,10,21,13,25,11,25,12,24
Mg,12,26,8,2,10,22,13,26,11,26,12,25
Al,13,27,10,1,11,23,14,27,12,27,13,26
Si,14,28,12,0,12,24,15,28,13,28,14,27
Si,14,29,11,1,12,25,15,29,13,29,14,28
Si,14,30,10,2,12,26,15,30,13,30,14,29
P,15,31,12,1,13,27,16,31,14,31,15,30
S,16,32,14,0,14,28,17,32,15,32,16,31
S,16,33,13,1,14,29,17,33,15,33,16,32
S,16,34,12,2,14,30,17,34,15,34,16,33
S,16,36,10,4,14,32,17,36,15,36,16,35
Cl,17,35,14,1,15,31,18,35,16,35,17,34
Cl,17,37,12,3,15,33,18,37,16,37,17,36
Ar,18,36,16,0,16,32,19,36,17,36,18,35
Ar,18,38,14,2,16,34,19,38,17,38,18,37
Ar,18,40,12,4,16,36,19,40,17,40,18,39
K,19,39,16,1,17,35,20,39,18,39,19,38
K,19,40,15,2,17,36,20,40,18,40,19,39
K,19,41,14,3,17,37,20,41,18,41,19,40
Ca,20,40,18,0,18,36,21,40,19,40,20,39
Ca,20,42,16,2,18,38,21,42,19,42,20,41
Ca,20,43,15,3,18,39,21,43,19,43,20,42
Ca,20,44,14,4,18,40,21,44,19,44,20,43
Ca,20,46,12,6,18,42,21,46,19,46,20,45
Ca,20,48,10,8,18,44,21,48,19,48,20,47
Sc,21,45,16,3,19,41,22,45,20,45,21,44
Ti,22,46,18,2,20,42,23,46,21,46,22,45
Ti,22,47,17,3,20,43,23,47,21,47,22,46
Ti,22,48,16,4,20,44,23,48,21,48,22,47
Ti,22,49,15,5,20,45,23,49,21,49,22,48
Ti,22,50,14,6,20,46,23,50,21,50,22,49
V,23,50,17,4,21,46,24,50,22,50,23,49
V,23,51,16,5,21,47,24,51,22,51,23,50
