Z,A,elem,n_d,n_t,sigma,f_geom,R_tilde_per_A_G,neg_R_per_A_G,BA_measured_MeV
2,4,He,0,0,0.0000,1.0000,3.782062,-3.782062,7.0739
3,6,Li,1,0,1.0000,0.0000,3.333721,-3.333721,5.3323
3,7,Li,0,1,1.0000,0.0000,3.160226,-3.160226,5.6064
4,9,Be,1,1,0.0000,1.0000,2.889177,-2.889177,6.4627
5,10,B,3,0,1.0000,0.0000,2.881728,-2.881728,6.4751
5,11,B,2,1,0.3333,0.6667,2.712096,-2.712096,6.9277
6,12,C,4,0,1.0000,0.0000,2.739821,-2.739821,7.6801
6,13,C,3,1,0.5000,0.5000,2.582573,-2.582573,7.4698
7,14,N,5,0,1.0000,0.0000,2.626114,-2.626114,7.4756
7,15,N,4,1,0.6000,0.4000,2.481166,-2.481166,7.6995
8,16,O,6,0,1.0000,0.0000,2.531862,-2.531862,7.9762
8,17,O,5,1,0.6667,0.3333,2.398179,-2.398179,7.7507
8,18,O,4,2,0.3333,0.6667,2.310437,-2.310437,7.7671
9,19,F,6,1,0.7143,0.2857,2.328152,-2.328152,7.7790
10,20,Ne,8,0,1.0000,0.0000,2.382517,-2.382517,8.0322
10,21,Ne,7,1,0.7500,0.2500,2.267729,-2.267729,7.9717
10,22,Ne,6,2,0.5000,0.5000,2.185009,-2.185009,8.0805
11,23,Na,8,1,0.7778,0.2222,2.214703,-2.214703,8.1115
12,24,Mg,10,0,1.0000,0.0000,2.267609,-2.267609,8.2607
12,25,Mg,9,1,0.8000,0.2000,2.167548,-2.167548,8.2235
12,26,Mg,8,2,0.6000,0.4000,2.091079,-2.091079,8.3339
13,27,Al,10,1,0.8182,0.1818,2.125165,-2.125165,8.3316
14,28,Si,12,0,1.0000,0.0000,2.175195,-2.175195,8.4477
14,29,Si,11,1,0.8333,0.1667,2.086736,-2.086736,8.4486
14,30,Si,10,2,0.6667,0.3333,2.016337,-2.016337,8.5207
15,31,P,12,1,0.8462,0.1538,2.051635,-2.051635,8.4812
16,32,S,14,0,1.0000,0.0000,2.098527,-2.098527,8.4931
16,33,S,13,1,0.8571,0.1429,2.019373,-2.019373,8.4976
16,34,S,12,2,0.7143,0.2857,1.954479,-1.954479,8.5835
16,36,S,10,4,0.4286,0.5714,1.859632,-1.859632,8.5754
17,35,Cl,14,1,0.8667,0.1333,1.989561,-1.989561,8.5203
17,37,Cl,12,3,0.6000,0.4000,1.875867,-1.875867,8.5703
18,36,Ar,16,0,1.0000,0.0000,2.033437,-2.033437,8.5199
18,38,Ar,14,2,0.7500,0.2500,1.901867,-1.901867,8.6143
18,40,Ar,12,4,0.5000,0.5000,1.810734,-1.810734,8.5953
19,39,K,16,1,0.8824,0.1176,1.936078,-1.936078,8.5570
19,40,K,15,2,0.7647,0.2353,1.878279,-1.878279,8.5381
19,41,K,14,3,0.6471,0.3529,1.829663,-1.829663,8.5761
20,40,Ca,18,0,1.0000,0.0000,1.977181,-1.977181,8.5513
20,42,Ca,16,2,0.7778,0.2222,1.856214,-1.856214,8.6166
20,43,Ca,15,3,0.6667,0.3333,1.808910,-1.808910,8.6007
20,44,Ca,14,4,0.5556,0.4444,1.769054,-1.769054,8.6582
20,46,Ca,12,6,0.3333,0.6667,1.708390,-1.708390,8.6690
20,48,Ca,10,8,0.1111,0.8889,1.668596,-1.668596,8.6667
21,45,Sc,16,3,0.6842,0.3158,1.789470,-1.789470,8.6189
22,46,Ti,18,2,0.8000,0.2000,1.815990,-1.815990,8.6565
22,47,Ti,17,3,0.7000,0.3000,1.771195,-1.771195,8.6612
22,48,Ti,16,4,0.6000,0.4000,1.732790,-1.732790,8.7230
22,49,Ti,15,5,0.5000,0.5000,1.700107,-1.700107,8.7112
22,50,Ti,14,6,0.4000,0.6000,1.672553,-1.672553,8.7557
23,50,V,17,4,0.6190,0.3810,1.716296,-1.716296,8.6959
23,51,V,16,5,0.5238,0.4762,1.683979,-1.683979,8.7421
24,50,Cr,20,2,0.8182,0.1818,1.780119,-1.780119,8.7010
24,52,Cr,18,4,0.6364,0.3636,1.700736,-1.700736,8.7760
24,53,Cr,17,5,0.5455,0.4545,1.668820,-1.668820,8.7602
24,54,Cr,16,6,0.4545,0.5455,1.641430,-1.641430,8.7780
25,55,Mn,18,5,0.5652,0.4348,1.654522,-1.654522,8.7650
26,54,Fe,22,2,0.8333,0.1667,1.747814,-1.747814,8.7364
26,56,Fe,20,4,0.6667,0.3333,1.672046,-1.672046,8.7904
26,57,Fe,19,5,0.5833,0.4167,1.640998,-1.640998,8.7703
26,58,Fe,18,6,0.5000,0.5000,1.613970,-1.613970,8.7923
27,59,Co,20,5,0.6000,0.4000,1.628169,-1.628169,8.7680
28,58,Ni,24,2,0.8462,0.1538,1.718485,-1.718485,8.7321
28,60,Ni,22,4,0.6923,0.3077,1.646105,-1.646105,8.7808
28,61,Ni,21,5,0.6154,0.3846,1.615971,-1.615971,8.7650
28,62,Ni,20,6,0.5385,0.4615,1.589429,-1.589429,8.7946
28,64,Ni,18,8,0.3846,0.6154,1.545964,-1.545964,8.7775
29,63,Cu,22,5,0.6296,0.3704,1.604347,-1.604347,8.7521
29,65,Cu,20,7,0.4815,0.5185,1.554941,-1.554941,8.7571
30,64,Zn,24,4,0.7143,0.2857,1.622456,-1.622456,8.7359
30,66,Zn,22,6,0.5714,0.4286,1.567265,-1.567265,8.7596
30,67,Zn,21,7,0.5000,0.5000,1.544262,-1.544262,8.7342
30,68,Zn,20,8,0.4286,0.5714,1.524008,-1.524008,8.7557
30,70,Zn,18,10,0.2857,0.7143,1.490924,-1.490924,8.7298
31,69,Ga,22,7,0.5172,0.4828,1.534095,-1.534095,8.7246
31,71,Ga,20,9,0.3793,0.6207,1.496076,-1.496076,8.7176
32,70,Ge,24,6,0.6000,0.4000,1.547072,-1.547072,8.7217
32,72,Ge,22,8,0.4667,0.5333,1.504226,-1.504226,8.7317
32,73,Ge,21,9,0.4000,0.6000,1.486383,-1.486383,8.7050
32,74,Ge,20,10,0.3333,0.6667,1.470700,-1.470700,8.7252
32,76,Ge,18,12,0.2000,0.8000,1.445209,-1.445209,8.7052
33,75,As,22,9,0.4194,0.5806,1.477166,-1.477166,8.7009
34,74,Se,26,6,0.6250,0.3750,1.528538,-1.528538,8.6877
34,76,Se,24,8,0.5000,0.5000,1.486244,-1.486244,8.7115
34,77,Se,23,9,0.4375,0.5625,1.468383,-1.468383,8.6947
34,78,Se,22,10,0.3750,0.6250,1.452514,-1.452514,8.7178
34,80,Se,20,12,0.2500,0.7500,1.426229,-1.426229,8.7108
34,82,Se,18,14,0.1250,0.8750,1.406425,-1.406425,8.6932
35,79,Br,24,9,0.4545,0.5455,1.459997,-1.459997,8.6876
35,81,Br,22,11,0.3333,0.6667,1.429943,-1.429943,8.6959
36,78,Kr,28,6,0.6471,0.3529,1.511420,-1.511420,8.6612
36,80,Kr,26,8,0.5294,0.4706,1.469775,-1.469775,8.6929
36,82,Kr,24,10,0.4118,0.5882,1.436021,-1.436021,8.7107
36,83,Kr,23,11,0.3529,0.6471,1.421792,-1.421792,8.6957
36,84,Kr,22,12,0.2941,0.7059,1.409179,-1.409179,8.7174
36,86,Kr,20,14,0.1765,0.8235,1.388399,-1.388399,8.7120
37,85,Rb,24,11,0.3714,0.6286,1.414019,-1.414019,8.6974
37,87,Rb,22,13,0.2571,0.7429,1.389997,-1.389997,8.7110
38,84,Sr,28,8,0.5556,0.4444,1.454593,-1.454593,8.6775
38,86,Sr,26,10,0.4444,0.5556,1.420951,-1.420951,8.7085
38,87,Sr,25,11,0.3889,0.6111,1.406592,-1.406592,8.7052
38,88,Sr,24,12,0.3333,0.6667,1.393740,-1.393740,8.7326
39,89,Y,26,11,0.4054,0.5946,1.399483,-1.399483,8.7140
40,90,Zr,28,10,0.4737,0.5263,1.407091,-1.407091,8.7100
40,91,Zr,27,11,0.4211,0.5789,1.392670,-1.392670,8.6933
40,92,Zr,26,12,0.3684,0.6316,1.379660,-1.379660,8.6927
40,94,Zr,24,14,0.2632,0.7368,1.357551,-1.357551,8.6668
40,96,Zr,22,16,0.1579,0.8421,1.340175,-1.340175,8.6353
41,93,Nb,28,11,0.4359,0.5641,1.386129,-1.386129,8.6642
42,92,Mo,32,8,0.6000,0.4000,1.427402,-1.427402,8.6577
42,94,Mo,30,10,0.5000,0.5000,1.394269,-1.394269,8.6623
42,95,Mo,29,11,0.4500,0.5500,1.379842,-1.379842,8.6487
42,96,Mo,28,12,0.4000,0.6000,1.366736,-1.366736,8.6540
42,97,Mo,27,13,0.3500,0.6500,1.354878,-1.354878,8.6351
42,98,Mo,26,14,0.3000,0.7000,1.344201,-1.344201,8.6352
42,100,Mo,24,16,0.2000,0.8000,1.326134,-1.326134,8.6047
44,96,Ru,34,8,0.6190,0.3810,1.415131,-1.415131,8.6094
44,98,Ru,32,10,0.5238,0.4762,1.382348,-1.382348,8.6203
44,99,Ru,31,11,0.4762,0.5238,1.367957,-1.367957,8.6087
44,100,Ru,30,12,0.4286,0.5714,1.354806,-1.354806,8.6194
44,101,Ru,29,13,0.3810,0.6190,1.342829,-1.342829,8.6014
44,102,Ru,28,14,0.3333,0.6667,1.331965,-1.331965,8.6074
44,104,Ru,26,16,0.2381,0.7619,1.313347,-1.313347,8.5874
45,103,Rh,30,13,0.3953,0.6047,1.337154,-1.337154,8.5842
46,102,Pd,34,10,0.5455,0.4545,1.371215,-1.371215,8.5803
46,104,Pd,32,12,0.4545,0.5455,1.343739,-1.343739,8.5848
46,105,Pd,31,13,0.4091,0.5909,1.331690,-1.331690,8.5707
46,106,Pd,30,14,0.3636,0.6364,1.320691,-1.320691,8.5800
46,108,Pd,28,16,0.2727,0.7273,1.301637,-1.301637,8.5670
46,110,Pd,26,18,0.1818,0.8182,1.286188,-1.286188,8.5472
47,107,Ag,32,13,0.4222,0.5778,1.326423,-1.326423,8.5539
47,109,Ag,30,15,0.3333,0.6667,1.305295,-1.305295,8.5479
48,106,Cd,36,10,0.5652,0.4348,1.360776,-1.360776,8.5390
48,108,Cd,34,12,0.4783,0.5217,1.333425,-1.333425,8.5500
48,110,Cd,32,14,0.3913,0.6087,1.310251,-1.310251,8.5513
48,111,Cd,31,15,0.3478,0.6522,1.300105,-1.300105,8.5371
48,112,Cd,30,16,0.3043,0.6957,1.290859,-1.290859,8.5447
48,113,Cd,29,17,0.2609,0.7391,1.282469,-1.282469,8.5270
48,114,Cd,28,18,0.2174,0.7826,1.274895,-1.274895,8.5315
48,116,Cd,26,20,0.1304,0.8696,1.262040,-1.262040,8.5124
49,113,In,32,15,0.3617,0.6383,1.295107,-1.295107,8.5229
49,115,In,30,17,0.2766,0.7234,1.277290,-1.277290,8.5165
50,112,Sn,36,12,0.5000,0.5000,1.323774,-1.323774,8.5136
50,114,Sn,34,14,0.4167,0.5833,1.300540,-1.300540,8.5226
50,115,Sn,33,15,0.3750,0.6250,1.290289,-1.290289,8.5141
50,116,Sn,32,16,0.3333,0.6667,1.280892,-1.280892,8.5231
50,117,Sn,31,17,0.2917,0.7083,1.272311,-1.272311,8.5096
50,118,Sn,30,18,0.2500,0.7500,1.264507,-1.264507,8.5165
50,119,Sn,29,19,0.2083,0.7917,1.257445,-1.257445,8.4994
50,120,Sn,28,20,0.1667,0.8333,1.251091,-1.251091,8.5045
50,122,Sn,26,22,0.0833,0.9167,1.240379,-1.240379,8.4879
50,124,Sn,24,24,0.0000,1.0000,1.232131,-1.232131,8.4674
51,121,Sb,30,19,0.2245,0.7755,1.252437,-1.252437,8.4821
51,123,Sb,28,21,0.1429,0.8571,1.240128,-1.240128,8.4723
52,120,Te,34,16,0.3600,0.6400,1.271637,-1.271637,8.4770
52,122,Te,32,18,0.2800,0.7200,1.254909,-1.254909,8.4781
52,123,Te,31,19,0.2400,0.7600,1.247625,-1.247625,8.4655
52,124,Te,30,20,0.2000,0.8000,1.241018,-1.241018,8.4733
52,125,Te,29,21,0.1600,0.8400,1.235060,-1.235060,8.4580
52,126,Te,28,22,0.1200,0.8800,1.229721,-1.229721,8.4632
52,128,Te,26,24,0.0400,0.9600,1.220795,-1.220795,8.4488
52,130,Te,24,26,0.0400,0.9600,1.214037,-1.214037,8.4303
53,127,I,30,21,0.1765,0.8235,1.230194,-1.230194,8.4455
54,124,Xe,36,16,0.3846,0.6154,1.263008,-1.263008,8.4376
54,126,Xe,34,18,0.3077,0.6923,1.246005,-1.246005,8.4435
54,128,Xe,32,20,0.2308,0.7692,1.231716,-1.231716,8.4433
54,129,Xe,31,21,0.1923,0.8077,1.225517,-1.225517,8.4314
54,130,Xe,30,22,0.1538,0.8462,1.219914,-1.219914,8.4377
54,131,Xe,29,23,0.1154,0.8846,1.214881,-1.214881,8.4237
54,132,Xe,28,24,0.0769,0.9231,1.210394,-1.210394,8.4276
54,134,Xe,26,26,0.0000,1.0000,1.202967,-1.202967,8.4137
54,136,Xe,24,28,0.0769,0.9231,1.197460,-1.197460,8.3962
55,133,Cs,30,23,0.1321,0.8679,1.210135,-1.210135,8.4100
56,130,Ba,36,18,0.3333,0.6667,1.237715,-1.237715,8.4055
56,132,Ba,34,20,0.2593,0.7407,1.223092,-1.223092,8.4094
56,134,Ba,32,22,0.1852,0.8148,1.210856,-1.210856,8.4082
56,135,Ba,31,23,0.1481,0.8519,1.205573,-1.205573,8.3975
56,136,Ba,30,24,0.1111,0.8889,1.200816,-1.200816,8.4028
56,137,Ba,29,25,0.0741,0.9259,1.196564,-1.196564,8.3918
56,138,Ba,28,26,0.0370,0.9630,1.192796,-1.192796,8.3934
57,138,La,31,24,0.1273,0.8727,1.196306,-1.196306,8.3751
57,139,La,30,25,0.0909,0.9091,1.191922,-1.191922,8.3780
58,136,Ce,36,20,0.2857,0.7143,1.215069,-1.215069,8.3738
58,138,Ce,34,22,0.2143,0.7857,1.202460,-1.202460,8.3770
58,140,Ce,32,24,0.1429,0.8571,1.191966,-1.191966,8.3763
58,142,Ce,30,26,0.0714,0.9286,1.183422,-1.183422,8.3471
59,141,Pr,34,23,0.1930,0.8070,1.192889,-1.192889,8.3540
60,142,Nd,36,22,0.2414,0.7586,1.194654,-1.194654,8.3460
60,143,Nd,35,23,0.2069,0.7931,1.188963,-1.188963,8.3305
60,144,Nd,34,24,0.1724,0.8276,1.183762,-1.183762,8.3269
60,145,Nd,33,25,0.1379,0.8621,1.179032,-1.179032,8.3092
60,146,Nd,32,26,0.1034,0.8966,1.174754,-1.174754,8.3041
60,148,Nd,30,28,0.0345,0.9655,1.167488,-1.167488,8.2772
60,150,Nd,28,30,0.0345,0.9655,1.161834,-1.161834,8.2496
62,144,Sm,40,20,0.3333,0.6667,1.200570,-1.200570,8.3037
62,147,Sm,37,23,0.2333,0.7667,1.181518,-1.181518,8.2806
62,148,Sm,36,24,0.2000,0.8000,1.176135,-1.176135,8.2796
62,149,Sm,35,25,0.1667,0.8333,1.171207,-1.171207,8.2635
62,150,Sm,34,26,0.1333,0.8667,1.166716,-1.166716,8.2616
62,152,Sm,32,28,0.0667,0.9333,1.158983,-1.158983,8.2441
62,154,Sm,30,30,0.0000,1.0000,1.152815,-1.152815,8.2268
63,151,Eu,36,25,0.1803,0.8197,1.167500,-1.167500,8.2393
63,153,Eu,34,27,0.1148,0.8852,1.158739,-1.158739,8.2287
64,152,Gd,38,24,0.2258,0.7742,1.169023,-1.169023,8.2334
64,154,Gd,36,26,0.1613,0.8387,1.159241,-1.159241,8.2248
64,155,Gd,35,27,0.1290,0.8710,1.154970,-1.154970,8.2133
64,156,Gd,34,28,0.0968,0.9032,1.151092,-1.151092,8.2153
64,157,Gd,33,29,0.0645,0.9355,1.147593,-1.147593,8.2035
64,158,Gd,32,30,0.0323,0.9677,1.144460,-1.144460,8.2018
64,160,Gd,30,32,0.0323,0.9677,1.139239,-1.139239,8.1830
65,159,Tb,34,29,0.0794,0.9206,1.143753,-1.143753,8.1888
66,156,Dy,40,24,0.2500,0.7500,1.162374,-1.162374,8.1924
66,158,Dy,38,26,0.1875,0.8125,1.152272,-1.152272,8.1901
66,160,Dy,36,28,0.1250,0.8750,1.143750,-1.143750,8.1841
66,161,Dy,35,29,0.0938,0.9062,1.140048,-1.140048,8.1733
66,162,Dy,34,30,0.0625,0.9375,1.136701,-1.136701,8.1735
66,163,Dy,33,31,0.0312,0.9688,1.133697,-1.133697,8.1618
66,164,Dy,32,32,0.0000,1.0000,1.131024,-1.131024,8.1587
67,165,Ho,34,31,0.0462,0.9538,1.129918,-1.129918,8.1470
68,162,Er,40,26,0.2121,0.7879,1.145758,-1.145758,8.1524
68,164,Er,38,28,0.1515,0.8485,1.136904,-1.136904,8.1490
68,166,Er,36,30,0.0909,0.9091,1.129479,-1.129479,8.1419
68,167,Er,35,31,0.0606,0.9394,1.126272,-1.126272,8.1317
68,168,Er,34,32,0.0303,0.9697,1.123387,-1.123387,8.1296
68,170,Er,32,34,0.0303,0.9697,1.118541,-1.118541,8.1120
69,169,Tm,36,31,0.0746,0.9254,1.122751,-1.122751,8.1145
70,168,Yb,40,28,0.1765,0.8235,1.130504,-1.130504,8.1119
70,170,Yb,38,30,0.1176,0.8824,1.122740,-1.122740,8.1066
70,171,Yb,37,31,0.0882,0.9118,1.119350,-1.119350,8.0979
70,172,Yb,36,32,0.0588,0.9412,1.116273,-1.116273,8.0974
70,173,Yb,35,33,0.0294,0.9706,1.113499,-1.113499,8.0874
70,174,Yb,34,34,0.0000,1.0000,1.111019,-1.111019,8.0838
70,176,Yb,32,36,0.0588,0.9412,1.106900,-1.106900,8.0641
71,175,Lu,36,33,0.0435,0.9565,1.110029,-1.110029,8.0691
71,176,Lu,35,34,0.0145,0.9855,1.107452,-1.107452,8.0590
72,174,Hf,40,30,0.1429,0.8571,1.116441,-1.116441,8.0685
72,176,Hf,38,32,0.0857,0.9143,1.109633,-1.109633,8.0614
72,177,Hf,37,33,0.0571,0.9429,1.106676,-1.106676,8.0518
72,178,Hf,36,34,0.0286,0.9714,1.104006,-1.104006,8.0494
72,179,Hf,35,35,0.0000,1.0000,1.101613,-1.101613,8.0385
72,180,Hf,34,36,0.0286,0.9714,1.099487,-1.099487,8.0349
73,180,Ta,37,34,0.0423,0.9577,1.100675,-1.100675,8.0259
73,181,Ta,36,35,0.0141,0.9859,1.098190,-1.098190,8.0234
74,180,W,40,32,0.1111,0.8889,1.103421,-1.103421,8.0254
74,182,W,38,34,0.0556,0.9444,1.097455,-1.097455,8.0183
74,183,W,37,35,0.0278,0.9722,1.094881,-1.094881,8.0083
74,184,W,36,36,0.0000,1.0000,1.092569,-1.092569,8.0051
74,186,W,34,38,0.0556,0.9444,1.088698,-1.088698,7.9886
75,185,Re,38,35,0.0411,0.9589,1.091681,-1.091681,7.9910
75,187,Re,36,37,0.0137,0.9863,1.087132,-1.087132,7.9780
76,184,Os,42,32,0.1351,0.8649,1.097600,-1.097600,7.9887
76,186,Os,40,34,0.0811,0.9189,1.091324,-1.091324,7.9828
76,187,Os,39,35,0.0541,0.9459,1.088585,-1.088585,7.9738
