rank  nuclide   Z   N  n_d  n_t   yield%    cum%(x2frag)
   1    Te-134   52  82   20   30    6.001      6.7
   2    Xe-138   54  84   22   30    4.954     12.2
   3    Zr-100   40  60   18   20    4.896     17.7
   4     Sr-94   38  56   18   18    4.705     22.9
   5     Sr-95   38  57   17   19    4.667     28.1
   6    Xe-139   54  85   21   31    4.568     33.2
   7     Kr-90   36  54   16   18    4.502     38.2
   8    Ba-144   56  88   22   32    4.208     42.9
   9     Zr-99   40  59   19   19    3.993     47.4
  10    Ba-143   56  87   23   31    3.978     51.8
  11     Sr-96   38  58   16   20    3.854     56.1
  12    Xe-140   54  86   20   32    3.801     60.3
  13    Te-135   52  83   19   31    3.683     64.4
  14     Kr-91   36  55   15   19    3.278     68.1
  15    Cs-141   55  86   22   31    3.266     71.7
  16     Kr-89   36  53   17   17    3.146     75.2
  17    Zr-101   40  61   17   21    3.139     78.7
  18     Rb-93   37  56   16   19    3.045     82.1
  19     I-137   53  84   20   31    2.951     85.4
  20     Rb-92   37  55   17   18    2.871     88.6
  21    Ba-142   56  86   24   30    2.852     91.8
  22    Xe-137   54  83   23   29    2.732     94.8
  23     Sr-93   38  55   19   17    2.719     97.9
  24     Zr-98   40  58   20   18    2.684    100.9
  25     I-135   53  82   22   29    2.549    103.7
  26    Cs-142   55  87   21   32    2.403    106.4
  27    Sb-133   51  82   18   31    2.277    108.9
  28     Rb-91   37  54   18   17    2.229    111.4
  29    Ba-145   56  89   21   33    2.121    113.8
  30    Cs-140   55  85   23   30    2.106    116.1
  31    Te-136   52  84   18   32    1.996    118.3
  32     Kr-92   36  56   14   20    1.944    120.5
  33    Nb-103   41  62   18   21    1.778    122.5
  34      Y-99   39  60   16   21    1.774    124.5
  35    Zr-102   40  62   16   22    1.765    126.4
  36    Nb-101   41  60   20   19    1.742    128.4
  37     Sr-97   38  59   15   21    1.675    130.2
  38     Kr-88   36  52   18   16    1.651    132.1
  39    Te-132   52  80   22   28    1.612    133.9
  40    La-145   57  88   24   31    1.578    135.6
  41    Cs-143   55  88   20   33    1.569    137.4
  42    Xe-141   54  87   19   33    1.555    139.1
  43    Sb-131   51  80   20   29    1.496    140.8
  44     Br-88   35  53   15   18    1.475    142.4
  45     Br-87   35  52   16   17    1.411    144.0
  46     Rb-94   37  57   15   20    1.398    145.6
  47     I-138   53  85   19   32    1.382    147.1
  48     Br-89   35  54   14   19    1.294    148.5
  49    Xe-136   54  82   24   28    1.252    149.9
  50    Ce-148   58  90   24   32    1.238    151.3
  51     Se-86   34  52   14   18    1.225    152.7
  52    Sb-132   51  81   19   30    1.223    154.1
  53    Cs-139   55  84   24   29    1.189    155.4
  54      Y-95   39  56   20   17    1.184    156.7
  55     Sr-92   38  54   20   16    1.155    158.0
  56    Te-133   52  81   21   29    1.152    159.3
  57    Mo-104   42  62   20   20    1.125    160.5
  58    La-147   57  90   22   33    1.039    161.7
  59    Nb-102   41  61   19   20    1.020    162.8
  60    Ba-141   56  85   25   29    1.008    163.9
  61    Ce-147   58  89   25   31    1.002    165.1
  62     Se-85   34  51   15   17    0.958    166.1
  63     Zr-97   40  57   21   17    0.937    167.2
  64    Mo-103   42  61   21   19    0.927    168.2
  65    Ba-146   56  90   20   34    0.918    169.2
  66     I-136   53  83   21   30    0.913    170.2
  67    La-144   57  87   25   30    0.809    171.1
  68    Ce-149   58  91   23   33    0.744    172.0
  69      Y-96   39  57   19   18    0.734    172.8
  70     Se-84   34  50   16   16    0.713    173.6
  71     Se-87   34  53   13   19    0.713    174.4
  72    Mo-105   42  63   19   21    0.693    175.2
  73     Rb-95   37  58   14   21    0.648    175.9
  74    Ce-146   58  88   26   30    0.622    176.6
  75      Y-97   39  58   18   19    0.619    177.3
  76     Br-86   35  51   17   16    0.618    178.0
  77     Sr-98   38  60   14   22    0.596    178.6
  78     I-139   53  86   18   33    0.589    179.3
  79     I-134   53  81   23   28    0.556    179.9
  80    Sn-132   50  82   16   32    0.534    180.5
  81    Xe-142   54  88   18   34    0.520    181.1
  82    La-146   57  89   23   32    0.513    181.6
  83     Kr-93   36  57   13   21    0.496    182.2
  84    Te-137   52  85   17   33    0.480    182.7
  85     Br-90   35  55   13   20    0.476    183.3
  86      Y-98   39  59   17   20    0.469    183.8
  87    Mo-102   42  60   22   18    0.455    184.3
  88     Kr-87   36  51   19   15    0.397    184.7
