hostname,pl_name,sy_pnum,pl_orbper,pl_ratdor,pl_orbeccen
"Kepler-150","Kepler-150 c",5,7.38199800000,18.652000,0.000000
"Kepler-1491","Kepler-1491 b",2,16.58617620000,18.000000,0.000000
"Kepler-171","Kepler-171 b",3,4.16697200000,11.973000,0.000000
"KOI-1599","KOI-1599.02",2,13.60880000000,24.890000,0.011400
"Kepler-342","Kepler-342 e",4,1.64422461300,1.825000,0.000000
"Kepler-267","Kepler-267 b",3,3.35372800000,18.114000,0.000000
"Kepler-760","Kepler-760 b",2,8.70419416000,20.400000,0.000000
"Kepler-272","Kepler-272 c",3,6.05734200000,12.626000,0.000000
"Kepler-865","Kepler-865 b",2,14.16399294000,25.755000,0.000000
"Kepler-288","Kepler-288 c",3,19.30577200000,35.210000,0.000000
"Kepler-340","Kepler-340 c",2,22.82466900000,27.250000,0.000000
"Kepler-333","Kepler-333 b",2,12.55115800000,19.800000,0.000000
"Kepler-276","Kepler-276 d",3,48.64800000000,46.950000,0.000000
"Kepler-372","Kepler-372 c",3,20.05376300000,17.700000,0.000000
"Kepler-114","Kepler-114 b",3,5.18854900000,16.940000,0.000000
"Kepler-1859","Kepler-1859 b",2,2.72959995300,6.730000,0.000000
"Kepler-213","Kepler-213 c",2,4.82296200000,16.200000,0.000000
"Kepler-1388","Kepler-1388 b",4,12.28546030000,32.110000,0.000000
"Kepler-258","Kepler-258 c",2,33.65307900000,55.900000,0.000000
"Kepler-355","Kepler-355 b",2,11.03189000000,9.130000,0.000000
"Kepler-324","Kepler-324 e",4,13.97939968000,25.000000,0.000000
"Kepler-330","Kepler-330 b",2,8.25978000000,20.500000,0.000000
"Kepler-233","Kepler-233 c",2,60.41895500000,93.710000,0.000000
"Kepler-174","Kepler-174 d",3,247.35373000000,224.600000,0.000000
"Kepler-200","Kepler-200 c",2,10.22215700000,16.900000,0.000000
"Kepler-130","Kepler-130 d",3,87.51790500000,77.200000,0.800000
"Kepler-60","Kepler-60 d",3,11.89810000000,8.870000,0.002000
"Kepler-1649","Kepler-1649 b",2,8.68909900000,44.770000,0.000000
