tdb,r_m,r_rsun,speed_km_s,z_depth,c_far_m_s,dc_over_c,z_earth,z_spec,rr_geom_km_s,f_doppler_1way_frac
2024-Dec-24 10:00:00.0000,6.908982e+09,9.930979,190.088127,2.137254e-07,299792329.853479,4.274508e-07,1.003549e-08,2.036899e-07,142.624241,4.757433e-04
2024-Dec-24 10:01:00.0000,6.908081e+09,9.929684,190.101303,2.137533e-07,299792329.836771,4.275065e-07,1.003549e-08,2.037178e-07,142.746357,4.761506e-04
2024-Dec-24 10:02:00.0000,6.907189e+09,9.928402,190.114353,2.137809e-07,299792329.820219,4.275617e-07,1.003549e-08,2.037454e-07,142.868296,4.765573e-04
2024-Dec-24 10:03:00.0000,6.906306e+09,9.927132,190.127278,2.138082e-07,299792329.803825,4.276164e-07,1.003549e-08,2.037727e-07,142.990057,4.769635e-04
2024-Dec-24 10:04:00.0000,6.905431e+09,9.925875,190.140079,2.138353e-07,299792329.787589,4.276706e-07,1.003549e-08,2.037998e-07,143.111640,4.773690e-04
2024-Dec-24 10:05:00.0000,6.904565e+09,9.924630,190.152753,2.138621e-07,299792329.771510,4.277242e-07,1.003549e-08,2.038266e-07,143.233044,4.777740e-04
2024-Dec-24 10:06:00.0000,6.903708e+09,9.923398,190.165303,2.138887e-07,299792329.755590,4.277773e-07,1.003549e-08,2.038532e-07,143.354268,4.781784e-04
2024-Dec-24 10:07:00.0000,6.902860e+09,9.922179,190.177727,2.139150e-07,299792329.739827,4.278299e-07,1.003549e-08,2.038795e-07,143.475311,4.785821e-04
2024-Dec-24 10:08:00.0000,6.902020e+09,9.920972,190.190025,2.139410e-07,299792329.724224,4.278819e-07,1.003549e-08,2.039055e-07,143.596173,4.789853e-04
2024-Dec-24 10:09:00.0000,6.901189e+09,9.919777,190.202198,2.139667e-07,299792329.708778,4.279335e-07,1.003549e-08,2.039313e-07,143.716852,4.793878e-04
2024-Dec-24 10:10:00.0000,6.900367e+09,9.918596,190.214245,2.139922e-07,299792329.693492,4.279844e-07,1.003549e-08,2.039568e-07,143.837348,4.797897e-04
2024-Dec-24 10:11:00.0000,6.899553e+09,9.917426,190.226165,2.140175e-07,299792329.678364,4.280349e-07,1.003549e-08,2.039820e-07,143.957661,4.801911e-04
2024-Dec-24 10:12:00.0000,6.898749e+09,9.916270,190.237960,2.140424e-07,299792329.663396,4.280848e-07,1.003549e-08,2.040069e-07,144.077789,4.805918e-04
2024-Dec-24 10:13:00.0000,6.897953e+09,9.915125,190.249628,2.140671e-07,299792329.648587,4.281342e-07,1.003549e-08,2.040316e-07,144.197732,4.809919e-04
2024-Dec-24 10:14:00.0000,6.897166e+09,9.913994,190.261169,2.140916e-07,299792329.633938,4.281831e-07,1.003549e-08,2.040561e-07,144.317488,4.813913e-04
2024-Dec-24 10:15:00.0000,6.896387e+09,9.912875,190.272584,2.141157e-07,299792329.619448,4.282314e-07,1.003549e-08,2.040802e-07,144.437058,4.817902e-04
