name,M_bar_Msun,h_R_kpc,v_flat_kms,quality
D631-7,4.837000e+08,0.7,57.7,1
DDO064,3.591300e+08,0.69,46.1,1
DDO154,3.922500e+08,0.37,47,2
DDO161,2.106740e+09,1.22,66.3,1
DDO168,6.447900e+08,1.02,53.4,2
DDO170,1.249050e+09,1.95,60,2
ESO079-G014,3.004270e+10,5.08,175,1
ESO116-G012,3.586390e+09,1.51,109.1,1
ESO563-G021,1.879048e+11,5.45,314.6,1
F561-1,4.195760e+09,2.79,50,3
F563-1,5.207500e+09,3.52,109.9,1
F563-V2,4.377770e+09,2.43,116.6,1
F568-V1,5.225530e+09,2.85,112.3,1
F571-8,7.452060e+09,3.56,139.7,1
F571-V1,2.543110e+09,2.47,83.6,2
F574-1,7.955420e+09,4.46,97.8,1
F579-V1,8.909850e+09,3.37,112.1,1
F583-1,3.320580e+09,2.36,85.8,1
IC2574,1.885880e+09,2.78,66.4,2
IC4202,1.062681e+11,4.78,242.6,1
KK98-251,1.954500e+08,1.34,33.7,2
NGC0024,2.843580e+09,1.34,106.3,1
NGC0055,4.395450e+09,6.11,85.6,2
NGC0100,4.262700e+09,1.66,88.1,1
NGC0247,5.988180e+09,3.74,104.9,2
NGC0289,7.256627e+10,6.74,163,2
NGC0300,2.705880e+09,1.75,93.3,2
NGC0801,1.871423e+11,8.72,220.1,1
NGC0891,7.510446e+10,2.55,216.1,1
NGC1003,1.123040e+10,1.61,109.8,1
NGC1090,4.770389e+10,3.53,164.4,1
NGC1705,4.513700e+08,0.39,71.9,3
NGC2366,9.785100e+08,0.65,50.2,3
NGC2403,9.275170e+09,1.39,131.2,1
NGC2683,4.207748e+10,2.18,154,2
NGC2841,1.070612e+11,3.64,284.8,1
NGC2903,4.432566e+10,2.33,184.6,1
NGC2915,9.961400e+08,0.55,83.5,2
NGC2976,1.914260e+09,1.01,85.4,2
NGC2998,1.066408e+11,6.2,209.9,1
NGC3109,7.314100e+08,1.56,66.2,1
NGC3198,3.359527e+10,3.14,150.1,1
NGC3521,4.794282e+10,2.4,213.7,1
NGC3726,4.372609e+10,3.4,168,2
NGC3741,2.560600e+08,0.2,50.1,1
NGC3769,1.669307e+10,3.38,118.6,2
NGC3877,3.823989e+10,2.53,168.4,2
NGC3893,3.697517e+10,2.38,174,1
NGC3917,1.349404e+10,2.63,135.9,1
NGC3949,2.351693e+10,3.59,163,2
NGC3953,7.441706e+10,4.89,220.8,1
NGC3972,8.791120e+09,2.18,132.7,1
NGC3992,1.355427e+11,4.96,241,1
NGC4010,1.236306e+10,2.81,125.8,2
NGC4013,4.349311e+10,3.53,172.9,2
NGC4051,5.122101e+10,4.65,157,2
NGC4085,1.265617e+10,1.65,131.5,2
NGC4088,6.458358e+10,2.58,171.7,1
NGC4100,3.382266e+10,2.15,158.2,1
NGC4138,2.402789e+10,1.51,147.3,2
NGC4157,6.375058e+10,2.32,184.7,1
NGC4183,1.008198e+10,2.79,110.6,1
NGC4214,1.216880e+09,0.51,80.1,2
NGC4217,4.605696e+10,2.94,181.3,1
NGC4559,1.741713e+10,2.1,121.2,1
NGC5005,9.106240e+10,9.45,262.2,1
NGC5033,7.030212e+10,5.16,194.2,1
NGC5055,9.205126e+10,3.2,179,1
