Z,A,element,BE_per_A_keV,BE_per_A_err_keV,n_deu,n_tri,grammar_class,source
1,1,H,0.0000,0.0000,0,-1,constituent,AME2020
1,2,H,1112.2831,0.0002,-1,0,constituent,AME2020
1,3,H,2827.2654,0.0003,-2,1,constituent,AME2020
2,3,He,2572.6804,0.0001,1,-1,constituent,AME2020
2,4,He,7073.9156,0.0002,0,0,alpha_only,AME2020
3,6,Li,5332.3312,0.0003,1,0,deuteron_rich,AME2020
3,7,Li,5606.4401,0.0006,0,1,triton_bearing,AME2020
4,9,Be,6462.6693,0.0085,1,1,triton_bearing,AME2020
4,10,Be,6497.6306,0.0081,0,2,triton_bearing,AME2020
5,10,B,6475.0835,0.0015,3,0,deuteron_rich,AME2020
5,11,B,6927.7323,0.0011,2,1,triton_bearing,AME2020
6,12,C,7680.1446,0.0002,4,0,deuteron_rich,AME2020
6,13,C,7469.8495,0.0002,3,1,triton_bearing,AME2020
6,14,C,7520.3198,0.0004,2,2,triton_bearing,AME2020
7,14,N,7475.6148,0.0002,5,0,deuteron_rich,AME2020
7,15,N,7699.4603,0.0002,4,1,triton_bearing,AME2020
8,16,O,7976.2072,0.0002,6,0,deuteron_rich,AME2020
8,17,O,7750.7291,0.0002,5,1,triton_bearing,AME2020
8,18,O,7767.0981,0.0002,4,2,triton_bearing,AME2020
9,19,F,7779.0192,0.0002,6,1,triton_bearing,AME2020
10,20,Ne,8032.2412,0.0002,8,0,deuteron_rich,AME2020
10,21,Ne,7971.7136,0.0018,7,1,triton_bearing,AME2020
10,22,Ne,8080.4656,0.0008,6,2,triton_bearing,AME2020
11,22,Na,7915.6624,0.0060,8,1,EC_alt,AME2020
11,23,Na,8111.4936,0.0002,8,1,triton_bearing,AME2020
12,24,Mg,8260.7103,0.0006,10,0,deuteron_rich,AME2020
12,25,Mg,8223.5028,0.0019,9,1,triton_bearing,AME2020
12,26,Mg,8333.8711,0.0011,8,2,triton_bearing,AME2020
13,26,Al,8149.7653,0.0026,10,1,EC_alt,AME2020
13,27,Al,8331.5533,0.0018,10,1,triton_bearing,AME2020
14,28,Si,8447.7445,0.0002,12,0,deuteron_rich,AME2020
14,29,Si,8448.6361,0.0002,11,1,triton_bearing,AME2020
14,30,Si,8520.6549,0.0008,10,2,triton_bearing,AME2020
14,32,Si,8481.4690,0.0093,8,4,triton_bearing,AME2020
15,31,P,8481.1677,0.0002,12,1,triton_bearing,AME2020
16,32,S,8493.1301,0.0002,14,0,deuteron_rich,AME2020
16,33,S,8497.6304,0.0002,13,1,triton_bearing,AME2020
16,34,S,8583.4986,0.0013,12,2,triton_bearing,AME2020
