CQ35 ROLLING SOLVER RESULTS
============================

Configuration:
  Spation radius (a): 8.0813e-36 m
  Proton radius (R_p): 8.4140e-16 m
  Trefoil surface velocity: 5.4865e+08 m/s (1.8301 c)
  Per-contact lag coefficient k: 1.0
  Per-contact lag formula: λ_i = a/r_i

VELOCITY PROFILE (Equator, θ=0°):
Shell, r_center [m], v_derived [m/s], v_target [m/s], rel_error
1, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
2, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
3, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
4, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
5, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
6, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
7, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
8, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
9, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
10, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
11, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
12, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
13, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
14, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
15, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
16, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
17, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
18, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
19, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
20, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
21, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
22, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
23, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
24, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
25, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
26, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
27, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
28, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
29, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
30, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
31, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
32, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
33, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
34, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
35, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
36, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
37, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
38, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
39, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
40, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
41, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
42, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
43, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
44, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
45, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
46, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
47, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
48, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
49, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
50, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
51, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
52, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
53, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
54, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
55, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
56, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
57, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
58, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
59, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
60, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
61, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
62, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
63, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
64, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
65, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
66, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
67, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
68, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
69, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
70, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
71, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
72, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
73, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
74, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
75, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
76, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
77, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
78, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
79, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
80, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
81, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
82, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
83, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
84, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
85, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
86, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
87, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
88, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
89, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
90, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
91, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
92, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
93, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
94, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
95, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
96, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
97, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
98, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
99, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
100, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
101, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
102, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
103, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
104, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
105, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
106, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
107, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
108, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
109, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
110, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
111, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
112, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
113, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
114, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
115, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
116, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
117, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
118, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
119, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
120, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
121, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
122, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
123, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
124, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
125, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
126, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
127, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
128, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
129, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
130, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
131, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
132, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
133, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
134, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
135, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
136, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
137, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
138, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
139, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
140, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
141, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
142, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
143, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
144, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
145, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
146, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
147, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
148, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
149, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
150, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
151, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
152, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
153, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
154, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
155, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
156, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
157, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
158, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
159, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
160, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
161, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
162, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
163, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
164, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
165, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
166, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
167, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
168, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
169, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
170, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
171, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
172, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
173, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
174, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
175, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
176, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
177, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
178, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
179, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
180, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
181, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
182, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
183, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
184, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
185, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
186, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
187, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
188, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
189, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
190, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
191, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
192, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
193, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
194, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
195, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
196, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
197, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
198, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
199, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
200, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
201, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
202, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
203, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
204, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
205, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
206, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
207, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
208, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
209, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
210, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
211, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
212, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
213, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
214, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
215, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
216, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
217, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
218, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
219, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
220, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
221, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
222, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
223, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
224, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
225, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
226, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
227, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
228, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
229, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
230, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
231, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
232, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
233, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
234, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
235, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
236, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
237, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
238, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
239, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
240, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
241, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
242, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
243, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
244, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
245, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
246, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
247, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
248, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
249, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
250, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
251, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
252, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
253, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
254, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
255, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
256, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
257, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
258, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
259, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
260, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
261, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
262, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
263, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
264, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
265, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
266, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
267, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
268, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
269, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
270, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
271, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
272, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
273, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
274, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
275, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
276, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
277, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
278, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
279, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
280, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
281, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
282, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
283, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
284, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
285, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
286, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
287, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
288, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
289, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
290, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
291, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
292, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
293, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
294, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
295, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
296, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
297, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
298, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
299, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
300, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
301, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
302, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
303, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
304, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
305, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
306, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
307, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
308, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
309, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
310, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
311, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
312, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
313, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
314, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
315, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
316, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
317, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
318, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
319, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
320, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
321, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
322, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
323, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
324, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
325, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
326, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
327, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
328, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
329, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
330, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
331, 8.414000e-16, 5.486502e+08, 5.486502e+08, 0.000000e+00
