Galaxy_Name,M_bar_Msun,h_R_kpc,Sigma_0_Msun_pc2,v_flat_meas_km_s
MockGal_000,7.144e+09,2.623,223.5,97.42
MockGal_001,1.856e+10,4.357,156.4,213.43
MockGal_002,7.890e+10,4.501,401.7,165.74
MockGal_003,5.605e+09,1.134,222.5,149.69
MockGal_004,1.872e+10,3.862,158.4,206.43
MockGal_005,6.216e+07,0.227,163.4,42.81
MockGal_006,5.675e+10,7.643,306.2,132.33
MockGal_007,3.157e+09,3.009,171.3,84.37
MockGal_008,4.418e+08,0.772,128.7,142.00
MockGal_009,1.227e+07,0.228,148.4,23.06
MockGal_010,2.476e+08,1.006,170.6,37.98
MockGal_011,3.356e+10,2.970,171.1,266.51
MockGal_012,1.433e+11,4.730,388.7,242.10
MockGal_013,1.109e+09,1.588,137.2,110.51
MockGal_014,2.716e+11,9.555,131.5,887.74
MockGal_015,1.003e+10,2.930,220.5,110.81
MockGal_016,7.514e+10,2.354,369.1,233.91
MockGal_017,7.154e+08,1.554,150.1,70.82
MockGal_018,4.818e+07,0.208,139.7,59.48
MockGal_019,7.241e+07,0.893,147.5,29.73
MockGal_020,7.446e+07,0.339,158.0,40.57
MockGal_021,5.910e+07,0.472,131.5,60.30
MockGal_022,1.732e+08,1.137,169.9,31.85
MockGal_023,2.256e+09,1.269,159.6,123.94
MockGal_024,8.978e+07,0.429,154.3,40.70
MockGal_025,2.158e+08,0.737,157.5,50.27
MockGal_026,5.191e+08,1.523,125.4,145.66
MockGal_027,2.792e+11,8.299,510.1,223.92
MockGal_028,2.312e+07,0.378,133.4,33.90
MockGal_029,1.458e+07,0.264,157.1,20.50
MockGal_030,1.487e+10,3.671,137.5,264.59
MockGal_031,1.547e+07,0.413,162.1,16.07
MockGal_032,3.184e+07,0.182,140.7,49.55
MockGal_033,1.002e+10,4.485,267.0,74.13
MockGal_034,3.316e+07,0.393,166.0,23.94
MockGal_035,1.617e+08,0.616,159.0,46.90
MockGal_036,4.254e+07,0.398,131.7,54.05
MockGal_037,1.774e+08,0.826,137.1,60.45
MockGal_038,8.514e+10,5.953,178.1,289.99
MockGal_039,1.032e+09,1.376,156.9,81.78
MockGal_040,1.652e+10,4.172,302.2,93.55
MockGal_041,2.399e+08,1.124,159.6,39.98
MockGal_042,1.102e+11,4.823,141.8,523.99
MockGal_043,7.061e+08,0.678,149.5,98.06
MockGal_044,4.859e+08,1.031,149.4,71.57
MockGal_045,4.809e+07,0.357,161.9,30.86
MockGal_046,9.204e+09,4.196,138.5,170.74
MockGal_047,3.472e+10,4.424,278.9,145.25
MockGal_048,2.979e+09,1.177,169.8,124.01
MockGal_049,4.867e+11,13.801,629.5,219.76
MockGal_050,1.243e+11,8.993,253.6,206.15
MockGal_051,4.835e+09,1.277,150.8,201.38
MockGal_052,3.155e+08,0.875,137.6,74.34
MockGal_053,1.610e+08,0.490,137.4,82.25
MockGal_054,6.189e+09,2.247,149.7,168.53
MockGal_055,3.099e+08,0.773,139.5,78.58
MockGal_056,1.893e+08,0.526,142.5,67.50
MockGal_057,1.059e+07,0.238,140.7,27.88
MockGal_058,1.041e+10,3.610,236.9,103.87
MockGal_059,1.213e+07,0.370,155.4,16.94
MockGal_060,3.527e+10,3.352,129.9,602.27
MockGal_061,1.674e+10,4.283,147.5,201.55
MockGal_062,5.905e+09,2.700,170.4,120.59
MockGal_063,3.817e+11,4.428,194.0,621.87
MockGal_064,1.889e+10,4.952,136.3,251.16
MockGal_065,1.974e+09,1.661,170.7,87.55
MockGal_066,4.946e+08,0.997,159.9,64.53
MockGal_067,6.009e+09,3.710,169.7,100.13
MockGal_068,3.732e+09,2.885,138.2,137.21
MockGal_069,2.580e+08,0.874,145.3,59.37
MockGal_070,7.235e+07,0.627,137.6,40.39
MockGal_071,1.617e+07,0.231,157.4,23.94
MockGal_072,9.899e+09,2.760,241.3,109.11
MockGal_073,1.765e+09,1.926,152.3,96.56
MockGal_074,4.507e+07,0.429,141.1,41.09
MockGal_075,3.173e+11,12.363,296.5,242.95
MockGal_076,1.914e+11,3.307,266.1,448.58
MockGal_077,1.121e+08,0.514,135.9,67.58
MockGal_078,2.142e+07,0.458,164.5,18.50
MockGal_079,1.380e+10,3.813,137.0,254.49
MockGal_080,4.972e+11,13.386,164.7,487.36
MockGal_081,2.107e+09,2.652,132.8,143.34
MockGal_082,1.125e+07,0.470,157.9,14.34
MockGal_083,2.097e+08,0.692,132.5,80.77
MockGal_084,1.456e+09,2.368,145.2,83.23
MockGal_085,1.839e+08,0.843,159.8,42.01
MockGal_086,6.894e+09,1.267,185.4,166.74
MockGal_087,1.589e+10,1.765,186.3,199.84
MockGal_088,6.050e+08,0.716,170.7,69.41
MockGal_089,1.057e+08,0.852,144.7,39.30
