API VERSION: 1.2
API SOURCE: NASA/JPL Horizons API



*******************************************************************************
Ephemeris / API_USER Sat Aug  8 06:03:36 2026 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Earth (399)                     {source: DE441}
Center body name: Sun (10)                        {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 2002-Jun-06 05:00:00.0000 TDB
Stop  time      : A.D. 2002-Jun-10 08:00:00.0000 TDB
Step-size       : 15 minutes
*******************************************************************************
Center geodetic : 0.0, 0.0, 0.0                   {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.0, 0.0, 0.0                   {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : 695700.0, 695700.0, 695700.0 km {Equator_a, b, pole_c}
Output units    : KM-S
Calendar mode   : Mixed Julian/Gregorian
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2452431.708333333, A.D. 2002-Jun-06 05:00:00.0000, -3.850784116441517E+07, -1.468361885243118E+08,  1.236876374587417E+03,  2.833506026075108E+01, -7.677754870661492E+00, -5.584466294172863E-04,
2452431.718750000, A.D. 2002-Jun-06 05:15:00.0000, -3.848233900717475E+07, -1.468430962432512E+08,  1.236372803442180E+03,  2.833640012447533E+01, -7.672731616112644E+00, -5.605999131517159E-04,
2452431.729166667, A.D. 2002-Jun-06 05:30:00.0000, -3.845683564445940E+07, -1.468499994411395E+08,  1.235867295555770E+03,  2.833773909388672E+01, -7.667708090732920E+00, -5.627504623850754E-04,
2452431.739583333, A.D. 2002-Jun-06 05:45:00.0000, -3.843133107707410E+07, -1.468568981177333E+08,  1.235359853439033E+03,  2.833907716884120E+01, -7.662684294692610E+00, -5.648982673212011E-04,
2452431.750000000, A.D. 2002-Jun-06 06:00:00.0000, -3.840582530582388E+07, -1.468637922727889E+08,  1.234850479513407E+03,  2.834041434919471E+01, -7.657660228162178E+00, -5.670433181630408E-04,
2452431.760416667, A.D. 2002-Jun-06 06:15:00.0000, -3.838031833151396E+07, -1.468706819060629E+08,  1.234339176289737E+03,  2.834175063480314E+01, -7.652635891312264E+00, -5.691856051091015E-04,
2452431.770833333, A.D. 2002-Jun-06 06:30:00.0000, -3.835481015494970E+07, -1.468775670173122E+08,  1.233825946256518E+03,  2.834308602552237E+01, -7.647611284313688E+00, -5.713251183618873E-04,
2452431.781250000, A.D. 2002-Jun-06 06:45:00.0000, -3.832930077693654E+07, -1.468844476062937E+08,  1.233310791917145E+03,  2.834442052120826E+01, -7.642586407337437E+00, -5.734618481199050E-04,
2452431.791666667, A.D. 2002-Jun-06 07:00:00.0000, -3.830379019828009E+07, -1.468913236727644E+08,  1.232793715767562E+03,  2.834575412171659E+01, -7.637561260554684E+00, -5.755957845785531E-04,
2452431.802083333, A.D. 2002-Jun-06 07:15:00.0000, -3.827827841978604E+07, -1.468981952164818E+08,  1.232274720348418E+03,  2.834708682690319E+01, -7.632535844136772E+00, -5.777269179354505E-04,
