scale,class,type,id,xi,B,sigmaB
A,n1,T,H,0.333333,0.999967,0
A,n1,T,He,3,0.869078,0
A,n2,F,Li,0.0666667,2.18787,0
A,n2,T,Be,0.230769,1.32453,0
A,n2,T,B,0.454545,1.25376,0
A,n2,T,C,0.777778,1.31521,0
A,n2,T,N,1.28571,1.05463,0
A,n2,T,O,2.2,1.07269,0
A,n2,T,F,4.33333,1.00634,0
A,n2,S,Ne,15,0.959982,0
A,n3,F,Na,0.0666667,1.83099,0
A,n3,T,Mg,0.230769,1.31916,0
A,n3,T,Al,0.454545,1.42814,0
A,n3,T,Si,0.777778,1.24076,0
A,n3,T,P,1.28571,1.35514,0
A,n3,T,S,2.2,1.13263,0
A,n3,T,Cl,4.33333,1.05685,0
A,n3,S,Ar,15,0.999318,0
A,n4,F,K,0.0666667,2.01276,0
A,n4,T,Ca,0.230769,1.56298,0
A,n4,T,Fe,0.230769,1.77815,0
A,n4,F,Cu,0.0666667,1.51776,0
A,n4,T,Zn,0.230769,1.21525,0
A,n4,T,Ga,0.454545,1.46352,0
A,n4,T,Ge,0.777778,1.26696,0
A,n4,T,Se,2.2,1.15676,0
A,n4,S,Kr,15,1.04661,0
A,n5+,F,Rb,0.0666667,1.97091,0
A,n5+,T,Sr,0.230769,1.58722,0
A,n5+,F,Ag,0.0666667,1.50348,0
A,n5+,T,Cd,0.230769,1.24482,0
A,n5+,T,In,0.454545,1.43563,0
A,n5+,T,Sn,0.777778,1.26167,0
A,n5+,T,I,4.33333,1.15716,0
A,n5+,S,Xe,15,1.07835,0
A,n5+,F,Cs,0.0666667,2.10667,0
A,n5+,T,Ba,0.230769,1.74524,0
